el toro	el perro	El botón era diminuto	Alfredo era el notario más noble de Francia
un cono	la obra	A mi padre le encantan los boquerones	Había allí doce comensales además del anfitrión
el lado	el puerto	Me divierto inventando canciones	Las golondrinas pasaban rápidas en bandadas
la mamá	la compra	El gato desapareció por el callejón	Su pintura me conmueve y me intriga
mis papás	tu carta	Fue todo un descubrimiento	Se levantó de madrugada para dar un paseo por el retiro
la bola	mi amigo	No contestó porque estaba despistado	La casa de Lucía era la primera de una calle estrecha y larga
el enano	la prenda	Estaba temblando de frío	La apariencia de la mujer era serena
la foca	los pasos	El sastrecillo valiente es un cuento que me encanta	Carlos era un humilde carpintero de Toledo
un gato	los platos	Salieron disparados al oir la campana	Los pájaros piaban alegremente en el árbol
tus cosas	se iluminó	Contaron historias hasta el anochecer	Tomé un tentempié a media mañana
el cubo	iba girando	Mirad por la ventana y veréis como llueve	El epílogo aclaró sus dudas
un dado	se creyó	Me encanta jugar al pillapilla	Finalmente el barco quedó inmovilizado
la vaca	el brillante	Es un poco olvidadiza	Se movió silenciosamente
una cena	los divertidos	Tengo un perro regordete	Se notaba su profesionalidad
el papá	las conchas	Vimos un submarino antiguo	Actuó con imparcialidad
un pico	el delgaducho	Me encantan los libros de aventuras	Su trabajo consistía en guiarle y orientarle
los bolos	el cangrejo	Estas un poco despeinado	Fue preciso y ordenado
el lápiz	el pueblo	Hicimos una carrera nadando	Actuó como un necio
Cádiz	un dragón	Jugamos a los exploradores	Pidió una prorroga
	las croquetas	Los monstruos no existen	Supuso un gran embrollo
	un plumero	Comenzaron a bailar al oir la música	Habló sosegado
	el pleito	Fui corriendo hasta mi casa	Fue una negligencia
	la flauta	El barco navegaba por el mar	No quiso insistir en exceso
	una trampa	Exploté una burbuja de jabón	Estaba atemorizado por la fiera
	la fruteria	No debes entrar gritando	Lo hizo con perseverancia
	la profesora	Hubo cohetes en la fiesta	La comida fue muy copiosa
	el lobo feroz	Mis primos se disfrazaban a menudo	Se generó una gran confusión
	la voluntad	Lo descubrimos explorando	Significaba que lo había logrado
	la magnitud	El cangrejo camina hacia atrás	Era una ardua tarea
	la longitud	La niña sevillana aprendió a leer pronto	Lo esquivó sagazmente
	la ciudad de Madrid	Vamos alegres a casa de mi abuela	Sus ironías lo irritaban
	un día feliz	La oruga vivía en un girasol	Sus expresiones causaron indignación
	mi amiga Beatriz	Mira el campo de cereales	Entró sigilosamente a la habitación
	voy a Valladolid	La mujer tiene dos nietecitas	Circulaban numerosos vehículos
	mi comunidad	Mi madre tiene tres sobrinas	El gerente lo increpó por su tardanza
	el abad	Fuimos a casa de mi amigo Gustavo	Utilizó un tono despectivo
	la cicatriz	Mi hermana y yo iremos al parque	Actuó de forma negligente
	una mitad	Por supuesto que me gusta el cine	Le tachó de embustero
	la sociedad	Vivo cerca de un almacén de quesos	Era un hombre severo y mediocre
	su nariz	Es importante que hagamos esto	Intentó no ser demasiado crítico
	es incapaz	Me despisto con la radio	No debió creer en un rufián
	la densidad	Mi mejor amiga se llama Cleopatra	Es fruto de su esfuerzo constante
	pobre infeliz	Hay que clasificar los documentos	Optó por un método drástico
	la igualdad	El nombre de mi cuñada es Cristina	No pudo evitar sentirse extraño
	una cruz	Tu sobrina Claudia viene a las tres	Actuó de manera déspota
	la juventud	Este niño aún escribe despacio porque está aprendiendo	No dejó de expresar su opinión
	el albornoz	Me compré un disfraz	Se percibía su enorme carisma
	la virtud	Te diré la verdad	Era hombre de gran prestigio
	la vejez	Hazlo con normalidad	No se dejó llevar por su influencia
	el cacahuete	No bebo alcohol	Resolvió el dilema con sabiduría
	la prehistoria	Dame la almohada	No pongas excesivos pretextos
	el moho	Hazlo con coherencia	Se creyó omnipotente
	ahora	Llegó el deshielo	El obispo habló con el diácono
	la bahía	Lo tuve que deshacer	Cuando amanece en la elevada cumbre
	ahorrar	Se pudo ahogar	Se sintió afortunado por su bilingüismo
	el vehículo	No había acceso	Se creó con enorme ambigüedad
	el tirachinas	Se convirtió en un anciano cascarrabias	Se convirtió en su salvoconducto
	difícil	Se despidió o gran velocidad	La llenó de halagos y piropos
		En el castillo había una princesa	
		Me olvidé el paraguas	
		Mañana voy a ir al teatro	
