casa	k a / s a
ala	a / l a
bala	bv a / l a
copa	k o / p a
ropa	rr o / p a
sopa	s o / p a
gato	g a / t o
mesa	m e / s a
mano	m a / n o
sol	s o l
pez	p e z
pato	p a / t o
rama	rr a / m a
cama	k a / m a
sapo	s a / p o 
seta	s e / t a
pino	p i / n o
sal	s a l
mono	m o / n o
piña	p i / ny a
rojo	rr o / j o
col	k o l
faro	f a / r o
goma	g o / m a
leche	l e / ch e
sofá	s o / f a
gato	g a / t o
vino	bv i / n o
caña	k a / ny a
tren	t r e n
piedra	p i e / d r a
marco	m a r / k o
abeja	a / bv e / j a
camión	k a / m i o n
camino	k a / m i / n o
perro	p e / rr o
arco	a r / k o
conejo	k o / n e / j o
pájaro	p a / j a / r o
plato	p l a / t o
libros	l i / bv r o s
maíz	m a / i z
cabra	k a / bv r a
pastel	p a s / t e l
oreja	o / r e / j a
plano	p l a / n o
reja	rr e / j a
puente	p u e n / t e
ratón	rr a / t o n
carta	k a r / t a
barco	bv a r / k o 
percha	p e r / ch a
reloj	rr e / l o j
brazo	bv r a / z o
comprar	k o m / p r a r
sandia	s a n / d i / a
cuatro	k u a / t r o
verde	bv e r / d e
lápiz	l a / p i z
dulce	d u l / z e
papel	p a / p e l
azul	a / z u l 
uvas	u / bv a s
calla	k a / y a
calcetines	k a l / z e / t i / n e s
abanico	a / bv a / n i / k o
corbata	k o r / bv a / t a 
anciana	a n / z i a / n a
sorpresa	s o r / p r e / s a
candado	k a n / d a / d o
silbato	s i l / bv a / t o
abrigo	a / b r i / g o
aeroplano	a / e / r o / p l a / n o
lámpara	l a m / p a / r a
plátano	p l a / t a / n o
pluma	p l u / m a 
almeja	a l / m e / j a
cortina	k o r / t i / n a
cuchara	k u / ch a / r a
naranja	n a / r a n / j a
bicicleta	bv i / z i / k l e / t a
aceite	a / z e i / t e
pescado	p e s / k a / d o
tijeras	t i / j e / r a s
árbol	a r / bv o l
tostadora	t o s / t a / d o / r a
camisa	k a / m i / s a
pantano	p a n / t a / n o 
maracas	m a / r a / k a s
cámara	k a / m a / r a
sombrilla	s o m / bv r i / y a 
patata	p a / t a / t a
manzana	m a n / z a / n a
sombrero	s o m / bv r e / r o
bocadillo	bv o / k a / d i / y o
bañera	bv a / ny e / r a
ballena	bv a / y e / n a
lluvia	y u / bv i / a
noria	n o / r i a
